composition,icsdnum,energyperatom
La5N9Si3,419064.0,-7.944
O4Si1Ti1,166436.0,-7.944
O15Sr1V10,15273.0,-7.944
Fe1O4W1,15192.0,-7.944
O18Sr1V13,97949.0,-7.943
Mn3N2,84202.0,-7.942
Mn3N2,71638.0,-7.942
B3Ni1W3,615070.0,-7.941
Mn1O3Si1,34159.0,-7.941
Cr2O4Si1,89071.0,-7.94
Fe3N1W3,59255.0,-7.94
Ba3Nb6O26Si4,16029.0,-7.94
La4Mn5O22Si4,79811.0,-7.94
O3Sr1Zr1,89355.0,-7.938
Si2W3,652552.0,-7.938
Mn1O3Si1,77579.0,-7.936
Ba2O13Ti6,300030.0,-7.934
Ba1Cr10O15,85054.0,-7.933
La2Mo1O6,25611.0,-7.933
O3Sr1Zr1,89358.0,-7.932
Ba2La2Mn1O12W2,54667.0,-7.932
C1Fe2W2,20233.0,-7.932
Cr1O4Y1,26989.0,-7.931
Cr1O4Y1,157933.0,-7.93
Cr1O4Y1,95971.0,-7.928
Ba1Nb7O9,66344.0,-7.928
K1Nb5O13,170693.0,-7.928
Ba3Nb16O23,74979.0,-7.9270000000000005
La1Mn1O3,29119.0,-7.925
La5Mo6O21,170710.0,-7.9239999999999995
Fe1O3Y1,80865.0,-7.921
O11V6,196.0,-7.921
Ba1Nb2O6,39272.0,-7.92
Hf1O3Pb1,161702.0,-7.919
Al1Nb1O4,24078.0,-7.919
La1Mn1O3,155545.0,-7.917999999999999
Ba1Cr10O15,82101.0,-7.917000000000001
Hf1Mo2O8,6137.0,-7.917000000000001
Cr10O15Sr1,85053.0,-7.915
Hf2Si1,42523.0,-7.915
Mn2O7Sc2,83277.0,-7.915
C1Nb2P1,43009.0,-7.915
Cr1N1,626339.0,-7.914
Ba1Nb2O6,39320.0,-7.912000000000001
As1Hf9Mo4,610646.0,-7.912000000000001
O2Si1,162618.0,-7.91
Cr1O4Y1,157934.0,-7.91
O5Ti4,77697.0,-7.91
O2Si1,15321.0,-7.909
O2Si1,81382.0,-7.909
O2Si1,413210.0,-7.909
O2Si1,417476.0,-7.909
O2Si1,100199.0,-7.9079999999999995
O2Si1,91736.0,-7.9079999999999995
O2Si1,24587.0,-7.907
O2Si1,29343.0,-7.907
O2Si1,75654.0,-7.907
O2Si1,170525.0,-7.906000000000001
O2Si1,40903.0,-7.906000000000001
O2Si1,170524.0,-7.906000000000001
O2Si1,48153.0,-7.905
O2Si1,35536.0,-7.905
O2Si1,62585.0,-7.905
O2Si1,75647.0,-7.904
Mn1O1,262928.0,-7.904
O2Si1,183701.0,-7.904
O13Sr2Ti6,10455.0,-7.903
O2Si1,170499.0,-7.903
O2Si1,170498.0,-7.903
Mo1N1,106926.0,-7.902
O2Si1,86547.0,-7.902
O2Si1,86549.0,-7.902
O2Si1,62582.0,-7.901
O2Si1,85468.0,-7.901
O2Si1,65497.0,-7.9
O2Si1,170516.0,-7.9
O2Si1,75476.0,-7.899
La7Mo7O30,50613.0,-7.899
O2Si1,86207.0,-7.899
O2Si1,31048.0,-7.899
O2Si1,27826.0,-7.899
Mo2N1,30593.0,-7.899
O2Si1,157744.0,-7.899
O2Si1,162613.0,-7.899
O2Si1,93975.0,-7.899
Fe1O3Y1,23822.0,-7.898
O2Si1,170543.0,-7.898
Ca1O4W1,77335.0,-7.897
Ca1O4W1,15869.0,-7.897
O2Si1,170561.0,-7.896
O2Si1,419757.0,-7.895
N4Si3,156337.0,-7.895
O2Si1,410596.0,-7.894
O2Si1,171674.0,-7.894
Fe1La3O6,421426.0,-7.893
Ba1Nb2O6,28253.0,-7.893
Al1La1O3,90522.0,-7.893
Al1La1O3,180417.0,-7.893
Al1La1O3,180415.0,-7.893
Al1La1O3,180416.0,-7.893
O2Si1,170547.0,-7.892
Al1La1O3,90554.0,-7.892
O2Si1,93108.0,-7.892
O2Si1,170546.0,-7.892
Cr2N1,67400.0,-7.89
Hf9Mo4S1,638628.0,-7.89
Mo2O8Zr1,98167.0,-7.888999999999999
Mo2O8Zr1,59997.0,-7.888999999999999
Mo2O8Zr1,59144.0,-7.888999999999999
Mo3O12Sc2,20838.0,-7.888999999999999
Mo2O8Zr1,280429.0,-7.888999999999999
O2Si1,152295.0,-7.888999999999999
Mo2O8Zr1,59999.0,-7.888999999999999
O4Si1Ti1,166438.0,-7.886
O2Si1,170534.0,-7.885
Ba1O4W1,23702.0,-7.885
Ba1O4W1,52384.0,-7.8839999999999995
Ba1O4W1,155513.0,-7.8839999999999995
O3Sr1Zr1,27046.0,-7.8839999999999995
Cr2La3N6,162677.0,-7.882999999999999
C3Y2,619114.0,-7.881
O2Si1,170485.0,-7.88
O2Si1,170528.0,-7.879
O2Si1,170512.0,-7.876
O2Si1,170545.0,-7.876
P1W1,76029.0,-7.874
O2Si1,170513.0,-7.874
Mo1N1,183185.0,-7.872999999999999
Mn1O1,28898.0,-7.872999999999999
Hf1Mo1P1,88151.0,-7.872000000000001
C1Fe6W6,43267.0,-7.869
Ba4Nb14O23,73105.0,-7.869
Ba4Nb14O23,73444.0,-7.869
Ba1Nb4O6,42006.0,-7.867999999999999
Ba1O4Sc2,35592.0,-7.8660000000000005
Ba1N8Si6,417444.0,-7.865
O2Si1,56684.0,-7.865
La1Mo2O5,86679.0,-7.864
O4Sr1W1,184047.0,-7.862
O4Sr1W1,155426.0,-7.862
B3C1Nb3,411622.0,-7.862
Mn5O8V1,262807.0,-7.862
La2O3,26864.0,-7.862
Ca2O12Si4Zr1,73801.0,-7.861000000000001
Mn5O8V1,262806.0,-7.86
Na1O13Ti8,69110.0,-7.859
Mo2O8Zr1,65722.0,-7.859
Cr2Fe1O4,183963.0,-7.858
Cr2Fe1O4,183966.0,-7.858
O2V1,89471.0,-7.858
B2Co1W2,16776.0,-7.858
Ba3Nb5O15,69993.0,-7.857
Cr2Fe1O4,183962.0,-7.857
C4Y3,619109.0,-7.857
O11Sr1V6,261129.0,-7.856
Na2O19Ti9,62766.0,-7.856
Cr2Fe1O4,183967.0,-7.856
Cr2Fe1O4,183961.0,-7.855
Cr2Fe1O4,183968.0,-7.855
O11Sr1V6,93595.0,-7.855
O2V1,34419.0,-7.855
O2V1,89470.0,-7.855
Cr2Fe1O4,43269.0,-7.854
Cu1O8W2Y1,36622.0,-7.853
Ba1O5Ti2,162369.0,-7.85
Ba1O4W1,2144.0,-7.85
Cu1O8W2Y1,74945.0,-7.85
Ge1O5Sc2,4120.0,-7.849
As1Hf3,10490.0,-7.847
Mn3O8V2,422975.0,-7.845
O2Si1,170482.0,-7.843999999999999
Mo1N1,167853.0,-7.843
Hf1Nb1P1,75009.0,-7.843
Ba1O5Ti2,153286.0,-7.843
Ba3Nb4O15Ti1,36081.0,-7.843
C4Ir1,181494.0,-7.8389999999999995
La1Mn1O3,162003.0,-7.8389999999999995
N8Si6Sr1,391265.0,-7.8389999999999995
Ba1O9Si3Ti1,18100.0,-7.8389999999999995
Mn1O5Si2,85554.0,-7.837000000000001
Al2Mn3O12Si3,94602.0,-7.837000000000001
O2V1,199.0,-7.836
O2Si1,75658.0,-7.835
Fe1O4V2,28962.0,-7.834
Fe1O4V2,109149.0,-7.832999999999999
Mn5O12Si3,86935.0,-7.831
Mn5O12Si3,27382.0,-7.831
Mn5O12Si3,86936.0,-7.831
La6Mo8O33,99589.0,-7.83
O1V1,647603.0,-7.83
O2Si1,170511.0,-7.83
K2Nb5O15Y1,82147.0,-7.827999999999999
Ca3Hf1O9Si2,79452.0,-7.822
O2V1,51213.0,-7.822
Nb4O6Sr1,79355.0,-7.819
Cr1Na1O8W2,161849.0,-7.818
Cr1Na1O8W2,161850.0,-7.818
C4Fe1Y2,617900.0,-7.817
Mn4O7Si1,36273.0,-7.816
O2Si1,171737.0,-7.816
La1Mo5O8,68220.0,-7.813
Mn2O7V2,24321.0,-7.813
Ca1O3Zr1,56094.0,-7.812
La1Mo5O8,75224.0,-7.811
Ba1Nb2O11V2,165097.0,-7.811
Cr2Fe1O4,183965.0,-7.811
La1Mo5O8,68219.0,-7.811
Mn2Mo3O8,248082.0,-7.81
Mn2Mo3O8,10144.0,-7.81
Hf2S1,43203.0,-7.809
Mo1N1,168371.0,-7.809
C4N6Ni1,85617.0,-7.807
Hf9Mo4Se1,638630.0,-7.807
Ba1O4W1,155515.0,-7.806
Ba1O4W1,155516.0,-7.806
C19Y15,619118.0,-7.803
O2V1,77655.0,-7.8020000000000005
O2V1,51214.0,-7.801
C4Sc3,71145.0,-7.801
Al4Mn2O18Si5,89076.0,-7.8
Ca1O5Si1Ti1,66627.0,-7.7989999999999995
Mn3O4,68174.0,-7.7989999999999995
O2Si1,171741.0,-7.797999999999999
Mn3O4,76088.0,-7.797000000000001
Na2O12W3Zr1,20405.0,-7.797000000000001
Cr1O4V1,27508.0,-7.796
C1Ca1N2,31100.0,-7.795
Ba1Cr1O10Si4,83463.0,-7.795
Mn3O4,643198.0,-7.794
Ca3O12Sc2Si3,20214.0,-7.792999999999999
C2Cr1Sc1,80372.0,-7.792000000000001
Mn3O4,77478.0,-7.79
Cr1O4V1,79865.0,-7.79
Mn3O4,643199.0,-7.787000000000001
Ba2Nb5O9,78023.0,-7.7860000000000005
La1Mn2O5,84350.0,-7.785
O22Si4Sr4Ti5,98772.0,-7.784
Mo1O2,99714.0,-7.784
Fe1O3Ti1,247547.0,-7.7829999999999995
Fe1O3Ti1,30665.0,-7.782
Cr1O10Si4Sr1,83464.0,-7.782
Be1C1N2,181042.0,-7.781000000000001
Mn2N1,42979.0,-7.78
O7Pb1Ti3,2104.0,-7.774
La4Mo7O27,260424.0,-7.773
Cr1O1,109296.0,-7.772
Al1N3Ti4,91772.0,-7.772
Fe1O3Ti1,29209.0,-7.772
